time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2021-12-31T13:59:35.809Z, -33.45230, -65.77470,   9.76, KILOMETER,   4.3, mb
2021-11-08T06:16:27.185Z, -33.97310, -73.41610,  10.00, KILOMETER,   4.6, Mwr
2021-11-01T13:43:45.622Z, -31.33030, -71.93680,  10.00, KILOMETER,   4.0, ML
2021-10-19T00:03:31.986Z, -31.65640, -72.08190,   8.45, KILOMETER,   4.5, Mwr
2021-10-16T20:14:46.472Z, -31.67390, -72.05260,  15.99, KILOMETER,   3.9, Mwr
2021-10-16T18:45:01.303Z, -31.70100, -72.05320,  10.00, KILOMETER,   4.4, Mwr
2021-10-16T03:37:22.422Z, -31.70450, -72.04500,   6.18, KILOMETER,   4.1, Mwr
2021-10-15T05:41:39.886Z, -31.68660, -72.11080,  10.00, KILOMETER,   4.3, mb
2021-10-04T12:42:24.323Z, -31.70980, -72.10590,  17.68, KILOMETER,   4.0, Mwr
2021-10-04T12:36:16.424Z, -31.69490, -72.09850,  16.49, KILOMETER,   4.6, Mwr
2021-09-16T18:34:55.466Z, -31.81260, -72.19020,  10.00, KILOMETER,   4.6, mb
2021-09-16T09:28:28.487Z, -32.10700, -72.19730,  10.00, KILOMETER,   4.6, mb
2021-09-16T06:10:35.574Z, -32.15960, -72.29970,  19.90, KILOMETER,   4.4, mb
2021-09-15T08:46:59.677Z, -32.10870, -72.26700,  10.40, KILOMETER,   4.9, Mwr
2021-09-15T04:07:54.671Z, -31.74090, -72.01540,  10.00, KILOMETER,   4.4, mb
2021-09-15T02:09:43.022Z, -31.83960, -71.99590,  19.99, KILOMETER,   4.1, Mwr
2021-09-14T12:07:26.918Z, -31.70540, -72.08600,  13.48, KILOMETER,   4.4, mb
2021-09-14T04:12:30.870Z, -31.70600, -72.05510,  10.00, KILOMETER,   4.4, Mwr
2021-09-14T01:56:35.766Z, -31.70060, -71.95620,  13.37, KILOMETER,   4.8, Mwr
2021-09-13T04:12:28.517Z, -30.02850, -71.99470,  11.43, KILOMETER,   4.2, Mwr
2021-09-12T11:32:33.347Z, -31.71580, -72.12460,   4.64, KILOMETER,   4.4, mb
2021-09-06T08:31:03.741Z, -31.76080, -72.12650,  18.99, KILOMETER,   4.2, mb
2021-09-02T15:25:06.260Z, -32.10740, -72.85640,  10.00, KILOMETER,   4.8, mb
2021-08-24T16:20:42.743Z, -30.88890, -72.80130,  10.00, KILOMETER,   4.4, mb
2021-08-22T13:45:16.085Z, -32.91880, -67.13790,  10.00, KILOMETER,   4.2, mb
2021-08-07T22:33:31.544Z, -31.75520, -68.81120,  15.49, KILOMETER,   4.3, mb
2021-07-26T01:27:07.740Z, -30.33270, -72.00610,  10.00, KILOMETER,   4.3, mb
2021-07-26T01:05:15.517Z, -32.54890, -65.65400,  10.00, KILOMETER,   4.5, mb
2021-07-24T13:55:58.534Z, -34.34550, -73.61040,  10.00, KILOMETER,   4.9, mb
2021-06-24T20:50:32.584Z, -31.79050, -68.77410,  10.00, KILOMETER,   4.3, mb
2021-06-23T23:19:47.752Z, -32.87300, -69.14990,  10.00, KILOMETER,   4.2, mb
2021-06-15T13:57:37.252Z, -33.99010, -72.15650,  17.30, KILOMETER,   4.6, Mwr
2021-05-16T14:10:51.162Z, -30.39940, -72.29140,   6.08, KILOMETER,   4.5, mb
2021-05-04T15:18:22.842Z, -33.90360, -72.38460,  10.00, KILOMETER,   4.7, mb
2021-05-04T08:54:10.085Z, -34.58870, -73.10230,  19.03, KILOMETER,   4.1, mb
2021-04-28T18:34:12.373Z, -34.02480, -72.40620,  10.00, KILOMETER,   4.2, mb
2021-04-28T18:25:11.179Z, -34.02550, -72.36970,  12.84, KILOMETER,   4.7, mb
2021-04-23T12:45:47.838Z, -30.02760, -65.17030,  10.00, KILOMETER,   4.5, mb
2021-04-23T04:13:14.668Z, -34.03200, -72.32270,  10.00, KILOMETER,   4.1, Mwr
2021-04-23T03:56:10.305Z, -34.06750, -72.36630,  10.00, KILOMETER,   4.1, mb
2021-04-23T03:53:12.429Z, -34.06890, -72.35780,  10.00, KILOMETER,   4.2, mb
