#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
6A|ACET||BHE|-34.707901|-70.849525|553.9|0.0|90.0|0.0|Guralp CMG-6T Seismometer|2474290000.0|1.0|m/s|50.0|2017-03-06T00:00:00|2018-12-31T23:59:59
6A|ACET||BHN|-34.707901|-70.849525|553.9|0.0|0.0|0.0|Guralp CMG-6T Seismometer|2468750000.0|1.0|m/s|50.0|2017-03-06T00:00:00|2018-12-31T23:59:59
6A|ACET||BHZ|-34.707901|-70.849525|553.9|0.0|0.0|-90.0|Guralp CMG-6T Seismometer|2518290000.0|1.0|m/s|50.0|2017-03-06T00:00:00|2018-12-31T23:59:59
6A|DAMT||BHE|-34.8993|-70.5317|1405.1|0.0|90.0|0.0|Guralp CMG-6T Seismometer|2489030000.0|1.0|m/s|50.0|2017-03-28T00:00:00|2018-12-31T23:59:59
6A|DAMT||BHN|-34.8993|-70.5317|1405.1|0.0|0.0|0.0|Guralp CMG-6T Seismometer|2495300000.0|1.0|m/s|50.0|2017-03-28T00:00:00|2018-12-31T23:59:59
6A|DAMT||BHZ|-34.8993|-70.5317|1405.1|0.0|0.0|-90.0|Guralp CMG-6T Seismometer|2480080000.0|1.0|m/s|50.0|2017-03-28T00:00:00|2018-12-31T23:59:59
6A|GRUT||BHE|-34.8867|-70.680611|1578.7|0.0|90.0|0.0|Guralp CMG-6T Seismometer|2466800000.0|1.0|m/s|50.0|2017-03-30T00:00:00|2018-12-31T23:59:59
6A|GRUT||BHN|-34.8867|-70.680611|1578.7|0.0|0.0|0.0|Guralp CMG-6T Seismometer|2496350000.0|1.0|m/s|50.0|2017-03-30T00:00:00|2018-12-31T23:59:59
6A|GRUT||BHZ|-34.8867|-70.680611|1578.7|0.0|0.0|-90.0|Guralp CMG-6T Seismometer|2477670000.0|1.0|m/s|50.0|2017-03-30T00:00:00|2018-12-31T23:59:59
6A|MANT||BHE|-34.936199|-70.863762|622.8|0.0|90.0|0.0|Guralp CMG-6T Seismometer|2398000000.0|1.0|m/s|50.0|2017-03-11T00:00:00|2018-02-23T00:00:00
6A|MANT||BHN|-34.936199|-70.863762|622.8|0.0|0.0|0.0|Guralp CMG-6T Seismometer|2389660000.0|1.0|m/s|50.0|2017-03-11T00:00:00|2018-02-23T00:00:00
6A|MANT||BHZ|-34.936199|-70.863762|622.8|0.0|0.0|-90.0|Guralp CMG-6T Seismometer|2388060000.0|1.0|m/s|50.0|2017-03-11T00:00:00|2018-02-23T00:00:00
6A|MANT||BHE|-34.936199|-70.863762|622.8|0.0|90.0|0.0|Guralp CMG-6T Seismometer|2505200000.0|1.0|m/s|50.0|2018-04-15T21:30:00|2018-12-31T23:59:59
6A|MANT||BHN|-34.936199|-70.863762|622.8|0.0|0.0|0.0|Guralp CMG-6T Seismometer|2548860000.0|1.0|m/s|50.0|2018-04-15T21:30:00|2018-12-31T23:59:59
